
> moneymesh-redesign@0.0.1 dev
> vite

Port 5174 is in use, trying another one...
Port 5175 is in use, trying another one...

  VITE v4.5.14  ready in 102 ms

  ➜  Local:   http://localhost:5176/
  ➜  Network: use --host to expose
12:38:13 AM [vite] hmr update /src/contexts/AuthContext.tsx
12:38:23 AM [vite] hmr update /src/contexts/AuthContext.tsx
12:38:33 AM [vite] hmr update /src/components/Layout.tsx
12:39:04 AM [vite] hmr update /src/components/Layout.tsx
12:39:13 AM [vite] hmr update /src/components/Layout.tsx
12:39:27 AM [vite] hmr update /src/pages/Dashboard.tsx
12:39:37 AM [vite] hmr update /src/pages/Dashboard.tsx
12:39:52 AM [vite] hmr update /src/pages/Dashboard.tsx
12:40:10 AM [vite] hmr update /src/pages/Accounts.tsx
12:40:22 AM [vite] hmr update /src/pages/Accounts.tsx
1:11:53 AM [vite] hmr update /src/contexts/AuthContext.tsx
1:11:53 AM [vite] hmr update /src/components/Layout.tsx
1:11:54 AM [vite] hmr update /src/pages/Dashboard.tsx
1:11:55 AM [vite] hmr update /src/pages/Accounts.tsx
1:30:33 AM [vite] hmr update /src/components/Layout.tsx
1:31:00 AM [vite] hmr update /src/components/Layout.tsx
1:31:07 AM [vite] hmr update /src/components/SmartRedirect.tsx
1:31:31 AM [vite] hmr update /src/pages/Transfers.tsx
1:32:04 AM [vite] page reload src/main.tsx
1:32:25 AM [vite] page reload src/main.tsx
1:32:46 AM [vite] page reload src/main.tsx
1:35:05 AM [vite] page reload src/main.tsx
1:35:05 AM [vite] hmr update /src/components/Layout.tsx
1:35:05 AM [vite] hmr update /src/pages/Transfers.tsx
1:35:05 AM [vite] hmr update /src/components/SmartRedirect.tsx
1:39:57 AM [vite] hmr update /src/pages/Dashboard.tsx
1:42:34 AM [vite] hmr update /src/pages/Dashboard.tsx
1:43:06 AM [vite] hmr update /src/pages/Dashboard.tsx
1:45:18 AM [vite] hmr update /src/pages/SettingsPage.tsx
1:45:26 AM [vite] hmr update /src/pages/SettingsPage.tsx
1:45:42 AM [vite] hmr update /src/pages/SettingsPage.tsx
1:46:43 AM [vite] hmr update /src/pages/SettingsPage.tsx
1:50:02 AM [vite] hmr update /src/styles.css
1:50:24 AM [vite] page reload src/main.tsx
1:50:30 AM [vite] page reload src/main.tsx
1:50:41 AM [vite] page reload src/main.tsx
1:50:54 AM [vite] hmr update /src/pages/SettingsPage.tsx
